itemid,unique_visitors,total_events,views,purchases,conversion_rate
187946,2912,3412,3410.0,,0.0
461686,1393,2978,2539.0,133.0,5.24
5411,2079,2334,2325.0,,0.0
370653,1577,1854,1854.0,,0.0
219512,1370,1800,1740.0,12.0,0.69
298009,1342,1642,1642.0,,0.0
96924,1359,1633,1633.0,,0.0
309778,1055,1628,1565.0,15.0,0.96
257040,986,1647,1531.0,27.0,1.76
384302,1154,1608,1528.0,15.0,0.98
335975,1154,1428,1428.0,,0.0
111530,926,1447,1397.0,11.0,0.79
441668,1080,1433,1389.0,11.0,0.79
7943,846,1489,1346.0,46.0,3.42
320130,886,1507,1333.0,33.0,2.48
151444,1103,1230,1230.0,,0.0
234255,988,1307,1214.0,16.0,1.32
190000,848,1231,1164.0,20.0,1.72
142466,936,1136,1135.0,,0.0
37029,776,1227,1131.0,25.0,2.21
369447,615,1214,1103.0,31.0,2.81
112782,887,1126,1094.0,8.0,0.73
65273,784,1153,1076.0,13.0,1.21
434782,938,1069,1069.0,,0.0
9877,458,1162,1067.0,25.0,2.34
315543,549,1103,1043.0,14.0,1.34
161623,762,1072,1039.0,6.0,0.58
91755,851,1024,1024.0,,0.0
102306,858,1013,1013.0,,0.0
400946,700,1039,1001.0,6.0,0.6
350629,702,1019,995.0,3.0,0.3
48030,634,1122,986.0,41.0,4.16
354233,852,1008,983.0,1.0,0.1
29100,666,982,982.0,,0.0
312728,615,1155,947.0,46.0,4.86
445351,636,1073,939.0,45.0,4.79
290999,719,972,928.0,12.0,1.29
29196,628,1067,912.0,19.0,2.08
133907,738,948,909.0,10.0,1.1
241555,414,960,907.0,13.0,1.43
455183,707,959,904.0,11.0,1.22
341482,732,890,884.0,1.0,0.11
133814,760,907,874.0,5.0,0.57
315545,636,905,874.0,11.0,1.26
441852,656,977,860.0,27.0,3.14
84160,735,867,856.0,5.0,0.58
12217,650,896,839.0,13.0,1.55
393028,677,851,825.0,4.0,0.48
247909,662,861,824.0,5.0,0.61
303715,565,847,810.0,9.0,1.11
303828,475,830,801.0,6.0,0.75
420960,373,894,796.0,38.0,4.77
225778,681,768,768.0,,0.0
109618,513,764,764.0,,0.0
158666,636,841,764.0,9.0,1.18
394678,574,775,762.0,3.0,0.39
209994,668,753,753.0,,0.0
119736,267,893,752.0,97.0,12.9
232509,684,746,746.0,,0.0
266900,496,794,746.0,12.0,1.61
359491,577,736,736.0,,0.0
231482,564,785,734.0,12.0,1.63
179601,567,774,733.0,11.0,1.5
429094,635,727,727.0,,0.0
325310,282,764,716.0,11.0,1.54
15948,620,711,711.0,,0.0
122604,567,770,709.0,13.0,1.83
422425,486,732,706.0,7.0,0.99
316753,536,794,696.0,14.0,2.01
351044,541,695,690.0,2.0,0.29
69533,533,708,681.0,5.0,0.73
355994,498,727,680.0,13.0,1.91
345279,547,703,670.0,7.0,1.04
413166,574,670,670.0,,0.0
869,413,693,654.0,7.0,1.07
438484,510,706,652.0,12.0,1.84
272770,490,660,651.0,3.0,0.46
409804,457,838,647.0,35.0,5.41
58638,380,676,645.0,9.0,1.4
299222,523,687,641.0,11.0,1.72
215715,503,637,637.0,,0.0
290250,571,634,634.0,,0.0
17478,381,740,631.0,37.0,5.86
138427,427,680,626.0,20.0,3.19
291877,416,643,626.0,5.0,0.8
82586,470,632,616.0,4.0,0.65
320494,404,636,614.0,3.0,0.49
339703,469,684,614.0,9.0,1.47
46232,478,701,610.0,19.0,3.11
242905,501,645,610.0,4.0,0.66
89775,464,635,608.0,8.0,1.32
445749,509,606,606.0,,0.0
316779,532,605,605.0,,0.0
149275,490,604,604.0,,0.0
254418,456,623,604.0,3.0,0.5
253615,490,653,599.0,7.0,1.17
206880,441,612,598.0,,0.0
399031,394,617,598.0,3.0,0.5
268883,338,678,597.0,29.0,4.86
357054,423,628,597.0,7.0,1.17
66752,424,611,595.0,3.0,0.5
393111,400,613,591.0,6.0,1.02
243355,409,612,590.0,5.0,0.85
453618,458,604,590.0,1.0,0.17
546,311,657,589.0,23.0,3.9
38965,272,628,589.0,10.0,1.7
91105,478,597,585.0,2.0,0.34
216305,440,588,585.0,1.0,0.17
449571,518,585,585.0,,0.0
153778,397,622,581.0,14.0,2.41
445105,434,609,578.0,8.0,1.38
248455,292,665,575.0,38.0,6.61
447661,471,625,575.0,5.0,0.87
260539,386,574,574.0,,0.0
403757,489,573,573.0,,0.0
367664,370,610,571.0,9.0,1.58
4001,448,600,567.0,9.0,1.59
389158,455,617,567.0,12.0,2.12
231243,357,572,565.0,,0.0
318333,417,625,558.0,23.0,4.12
294482,401,553,553.0,,0.0
82278,410,572,548.0,7.0,1.28
374092,398,572,545.0,6.0,1.1
378637,426,565,545.0,4.0,0.73
17114,509,546,542.0,,0.0
235224,408,551,542.0,2.0,0.37
260650,434,542,542.0,,0.0
76060,434,561,541.0,5.0,0.92
82389,431,541,541.0,,0.0
287664,505,538,538.0,,0.0
460188,436,552,534.0,4.0,0.75
298196,483,527,527.0,,0.0
338660,382,562,525.0,10.0,1.9
390591,450,594,524.0,8.0,1.53
5470,383,556,521.0,5.0,0.96
23762,309,572,521.0,15.0,2.88
260317,397,520,520.0,,0.0
118914,415,540,519.0,9.0,1.73
192875,395,519,514.0,2.0,0.39
304537,370,524,514.0,,0.0
425186,360,515,513.0,,0.0
162139,326,531,512.0,6.0,1.17
62549,404,530,509.0,4.0,0.79
308438,371,534,507.0,4.0,0.79
334273,438,516,507.0,1.0,0.2
170811,403,517,502.0,2.0,0.4
392074,412,509,502.0,,0.0
64951,388,515,499.0,3.0,0.6
454818,422,538,498.0,10.0,2.01
459475,368,526,498.0,7.0,1.41
350103,371,511,497.0,6.0,1.21
22436,397,543,496.0,6.0,1.21
330506,324,515,496.0,4.0,0.81
449912,397,521,496.0,6.0,1.21
299677,335,509,495.0,1.0,0.2
379520,276,549,495.0,17.0,3.43
184998,435,494,494.0,,0.0
424515,340,506,494.0,1.0,0.2
274798,408,517,493.0,3.0,0.61
118551,343,499,491.0,3.0,0.61
75779,396,490,490.0,,0.0
215596,405,517,490.0,5.0,1.02
289103,366,509,486.0,9.0,1.85
216888,409,485,485.0,,0.0
46130,355,520,483.0,7.0,1.45
29890,429,482,482.0,,0.0
204494,339,518,482.0,10.0,2.07
272455,326,498,482.0,5.0,1.04
342530,337,510,482.0,6.0,1.24
429571,376,482,482.0,,0.0
215363,332,494,478.0,6.0,1.26
175356,365,489,476.0,2.0,0.42
80435,340,505,475.0,9.0,1.89
115323,417,475,474.0,,0.0
227318,341,485,473.0,3.0,0.63
464731,294,512,472.0,10.0,2.12
46156,291,551,468.0,31.0,6.62
137144,414,465,465.0,,0.0
218794,338,522,465.0,11.0,2.37
101845,402,461,461.0,,0.0
218746,334,510,461.0,5.0,1.08
444593,226,474,461.0,3.0,0.65
368060,392,483,459.0,3.0,0.65
251349,392,457,457.0,,0.0
448453,269,504,456.0,16.0,3.51
184199,392,463,454.0,,0.0
203908,389,452,452.0,,0.0
244252,316,456,452.0,,0.0
340825,362,466,452.0,5.0,1.11
344723,316,487,451.0,4.0,0.89
54502,337,450,450.0,,0.0
244924,387,450,450.0,,0.0
42002,259,487,448.0,16.0,3.57
276245,376,462,448.0,,0.0
186256,364,460,447.0,2.0,0.45
380971,310,467,445.0,6.0,1.35
194791,404,447,444.0,1.0,0.23
344071,313,471,444.0,7.0,1.58
382751,310,462,444.0,2.0,0.45
11279,334,474,443.0,10.0,2.26
321905,362,464,442.0,2.0,0.45
255725,298,456,440.0,5.0,1.14
76426,296,465,439.0,6.0,1.37
280375,353,457,439.0,3.0,0.68
229204,384,438,438.0,,0.0
413990,320,444,438.0,1.0,0.23
360487,327,473,436.0,4.0,0.92
279457,407,505,435.0,7.0,1.61
450082,259,490,435.0,22.0,5.06
57788,359,459,434.0,6.0,1.38
61303,311,459,434.0,4.0,0.92
11663,332,447,433.0,3.0,0.69
200425,280,444,432.0,3.0,0.69
75075,362,431,431.0,,0.0
103156,295,440,431.0,2.0,0.46
432152,283,451,430.0,4.0,0.93
414460,208,436,429.0,3.0,0.7
114866,362,426,426.0,,0.0
48704,361,425,425.0,,0.0
156173,378,425,425.0,,0.0
17108,256,445,424.0,5.0,1.18
159822,282,464,424.0,11.0,2.59
162525,383,424,424.0,,0.0
85914,311,446,423.0,8.0,1.89
132683,304,475,422.0,15.0,3.55
190070,349,436,421.0,2.0,0.48
193359,357,419,419.0,,0.0
369158,308,464,419.0,19.0,4.53
460133,337,419,419.0,,0.0
228392,322,446,418.0,10.0,2.39
139487,358,417,417.0,,0.0
302563,346,429,417.0,1.0,0.24
283115,209,438,416.0,7.0,1.68
222888,222,492,414.0,20.0,4.83
192710,374,413,413.0,,0.0
286481,314,413,413.0,,0.0
283916,225,440,411.0,10.0,2.43
229857,372,410,410.0,,0.0
245818,335,409,409.0,,0.0
68000,354,420,408.0,1.0,0.25
235047,294,429,408.0,5.0,1.23
250901,329,407,407.0,,0.0
16813,302,420,406.0,3.0,0.74
190536,335,422,406.0,2.0,0.49
328696,335,421,406.0,1.0,0.25
20981,312,410,405.0,1.0,0.25
45707,374,405,405.0,,0.0
340960,300,428,404.0,5.0,1.24
172894,250,442,403.0,13.0,3.23
198784,301,425,403.0,6.0,1.49
428257,273,424,399.0,8.0,2.01
251970,335,397,397.0,,0.0
12765,277,410,395.0,4.0,1.01
212216,252,406,395.0,3.0,0.76
323194,343,399,395.0,,0.0
243980,212,420,394.0,6.0,1.52
40870,21,410,393.0,1.0,0.25
244571,311,412,393.0,3.0,0.76
416017,187,474,393.0,32.0,8.14
447995,330,395,393.0,1.0,0.25
51650,306,428,392.0,6.0,1.53
286731,241,415,392.0,7.0,1.79
171878,260,450,391.0,13.0,3.32
199657,308,391,391.0,,0.0
97307,294,389,389.0,,0.0
198996,350,389,389.0,,0.0
232172,275,426,389.0,11.0,2.83
442131,291,433,389.0,11.0,2.83
455006,304,395,389.0,1.0,0.26
56323,325,399,388.0,3.0,0.77
361288,312,393,388.0,,0.0
304877,303,400,386.0,2.0,0.52
456005,323,401,386.0,4.0,1.04
461061,311,386,386.0,,0.0
358211,308,398,385.0,4.0,1.04
276494,298,407,384.0,3.0,0.78
176162,297,398,383.0,5.0,1.31
380237,285,390,383.0,1.0,0.26
389135,314,412,383.0,5.0,1.31
84310,303,406,382.0,6.0,1.57
273936,339,382,382.0,,0.0
48997,315,387,381.0,1.0,0.26
393744,326,381,381.0,,0.0
446534,295,381,381.0,,0.0
24734,257,395,380.0,1.0,0.26
237952,288,387,380.0,3.0,0.79
359251,334,391,379.0,2.0,0.53
385475,288,401,379.0,5.0,1.32
115696,261,384,378.0,2.0,0.53
144704,267,395,378.0,6.0,1.59
180751,311,426,378.0,7.0,1.85
110943,317,377,377.0,,0.0
337327,243,394,377.0,6.0,1.59
245085,297,382,376.0,1.0,0.27
277490,305,393,376.0,3.0,0.8
340093,310,401,376.0,3.0,0.8
90240,326,385,375.0,2.0,0.53
292444,223,396,375.0,8.0,2.13
438412,247,378,373.0,1.0,0.27
448044,308,383,373.0,1.0,0.27
128908,281,376,372.0,1.0,0.27
120541,270,374,371.0,,0.0
152433,284,385,371.0,2.0,0.54
233734,281,391,371.0,7.0,1.89
391289,295,387,371.0,2.0,0.54
396491,297,374,371.0,,0.0
446820,289,396,370.0,6.0,1.62
227161,287,378,369.0,1.0,0.27
348596,332,369,369.0,,0.0
204057,248,390,368.0,6.0,1.63
294807,280,379,368.0,3.0,0.82
310944,204,406,368.0,12.0,3.26
89044,239,388,367.0,5.0,1.36
263258,234,382,366.0,5.0,1.37
368403,164,404,366.0,14.0,3.83
388097,281,388,366.0,5.0,1.37
412898,293,385,366.0,2.0,0.55
428085,317,366,366.0,,0.0
100282,281,403,365.0,12.0,3.29
210087,237,397,365.0,12.0,3.29
331311,269,371,365.0,2.0,0.55
339517,292,387,365.0,3.0,0.82
79572,304,367,363.0,,0.0
107184,230,363,363.0,,0.0
115426,291,367,363.0,,0.0
116624,246,388,363.0,9.0,2.48
273041,263,371,363.0,2.0,0.55
372188,250,403,363.0,14.0,3.86
417927,180,415,363.0,18.0,4.96
101094,267,365,362.0,1.0,0.28
212045,320,362,362.0,,0.0
405770,237,378,362.0,4.0,1.1
411373,230,365,362.0,1.0,0.28
463617,255,388,362.0,4.0,1.1
464767,295,362,362.0,,0.0
13925,279,379,361.0,5.0,1.39
239590,299,361,361.0,,0.0
257575,200,380,361.0,5.0,1.39
167337,288,370,360.0,5.0,1.39
259884,247,374,360.0,4.0,1.11
450209,311,360,360.0,,0.0
76196,250,388,359.0,11.0,3.06
436004,280,379,359.0,6.0,1.67
448220,291,375,357.0,5.0,1.4
30024,229,368,356.0,4.0,1.12
170262,282,402,356.0,15.0,4.21
361956,259,368,356.0,1.0,0.28
183511,294,383,355.0,6.0,1.69
340375,257,396,355.0,11.0,3.1
398579,217,383,355.0,3.0,0.85
14671,301,367,354.0,3.0,0.85
64253,286,353,353.0,,0.0
335331,309,370,353.0,6.0,1.7
51354,215,382,352.0,11.0,3.12
56664,273,351,351.0,,0.0
330647,281,362,351.0,1.0,0.28
189381,299,350,350.0,,0.0
74661,308,349,349.0,,0.0
227211,241,362,349.0,2.0,0.57
165302,266,354,348.0,1.0,0.29
21730,312,347,347.0,,0.0
197642,253,360,347.0,4.0,1.15
215503,267,360,347.0,3.0,0.86
272976,288,358,347.0,2.0,0.58
143416,275,357,346.0,2.0,0.58
272527,291,355,346.0,1.0,0.29
314789,198,368,345.0,9.0,2.61
387373,263,376,345.0,9.0,2.61
422671,268,368,345.0,7.0,2.03
191049,142,344,344.0,,0.0
277264,276,344,344.0,,0.0
240900,251,358,343.0,3.0,0.87
280328,253,374,343.0,6.0,1.75
303704,254,343,343.0,,0.0
351481,258,374,343.0,3.0,0.87
321850,287,346,341.0,1.0,0.29
268335,289,367,338.0,4.0,1.18
305588,239,355,338.0,3.0,0.89
23683,267,347,337.0,1.0,0.3
45337,305,337,337.0,,0.0
51314,279,339,336.0,,0.0
98547,245,347,336.0,2.0,0.6
207923,282,336,336.0,,0.0
264604,298,362,336.0,1.0,0.3
299038,275,361,336.0,3.0,0.89
444190,227,404,336.0,15.0,4.46
21455,232,339,335.0,1.0,0.3
159780,232,360,335.0,11.0,3.28
188051,265,363,335.0,7.0,2.09
459325,241,335,335.0,,0.0
126332,262,352,334.0,4.0,1.2
271896,279,348,334.0,3.0,0.9
415610,241,366,333.0,6.0,1.8
422356,248,342,332.0,1.0,0.3
52928,257,348,331.0,5.0,1.51
110151,239,338,331.0,2.0,0.6
188698,245,346,331.0,2.0,0.6
243169,241,344,331.0,1.0,0.3
395435,239,352,331.0,4.0,1.21
298056,289,352,330.0,3.0,0.91
187138,223,356,329.0,6.0,1.82
416979,269,331,329.0,,0.0
359844,225,343,328.0,4.0,1.22
389814,234,364,328.0,8.0,2.44
438322,238,338,328.0,1.0,0.3
457045,233,347,328.0,6.0,1.83
365673,254,330,327.0,,0.0
63543,250,354,326.0,7.0,2.15
101288,242,346,326.0,5.0,1.53
124583,265,347,326.0,4.0,1.23
209849,262,326,326.0,,0.0
310318,269,332,326.0,,0.0
367102,247,333,326.0,3.0,0.92
50467,278,325,325.0,,0.0
63721,218,325,325.0,,0.0
219488,234,325,325.0,,0.0
452852,244,337,325.0,1.0,0.31
177522,232,337,324.0,1.0,0.31
446934,263,339,324.0,5.0,1.54
191303,252,332,323.0,1.0,0.31
228644,253,358,323.0,8.0,2.48
322955,246,323,323.0,,0.0
395845,271,330,323.0,1.0,0.31
22926,290,343,322.0,3.0,0.93
102229,285,322,322.0,,0.0
272324,216,350,322.0,7.0,2.17
385769,241,334,322.0,2.0,0.62
124919,216,327,321.0,1.0,0.31
153889,257,331,321.0,3.0,0.93
166285,265,321,321.0,,0.0
306289,13,321,321.0,,0.0
389172,232,321,321.0,,0.0
125751,237,340,320.0,4.0,1.25
325852,268,372,320.0,8.0,2.5
386947,247,339,320.0,,0.0
58663,232,332,319.0,3.0,0.94
456792,223,329,319.0,2.0,0.63
316472,204,355,318.0,14.0,4.4
33912,217,340,317.0,6.0,1.89
271953,269,318,317.0,,0.0
304685,185,343,317.0,7.0,2.21
32843,248,318,316.0,,0.0
208270,241,320,316.0,1.0,0.32
218626,260,339,316.0,5.0,1.58
225257,230,329,316.0,1.0,0.32
273118,258,321,316.0,1.0,0.32
348237,307,316,316.0,,0.0
461190,137,334,316.0,4.0,1.27
254477,240,322,315.0,2.0,0.63
354153,193,340,315.0,8.0,2.54
369565,232,325,315.0,,0.0
446522,223,341,315.0,11.0,3.49
193828,204,326,314.0,5.0,1.59
240262,252,327,314.0,2.0,0.64
138017,255,330,313.0,2.0,0.64
256695,266,313,313.0,,0.0
310514,191,329,312.0,3.0,0.96
332629,254,327,312.0,3.0,0.96
118780,251,319,311.0,1.0,0.32
147005,249,317,311.0,,0.0
334920,254,325,311.0,7.0,2.25
465511,209,328,311.0,2.0,0.64
33182,242,317,309.0,,0.0
69974,259,311,309.0,,0.0
170936,246,309,309.0,,0.0
314801,247,317,309.0,3.0,0.97
328692,174,309,309.0,,0.0
88886,240,317,308.0,3.0,0.97
137697,229,331,308.0,8.0,2.6
243882,273,308,308.0,,0.0
248023,216,308,308.0,,0.0
10516,225,323,307.0,3.0,0.98
463668,268,307,307.0,,0.0
135900,249,310,306.0,,0.0
243250,240,321,306.0,2.0,0.65
411766,275,306,306.0,,0.0
37115,184,314,305.0,,0.0
61273,220,320,305.0,3.0,0.98
412622,187,315,305.0,2.0,0.66
174538,244,315,304.0,1.0,0.33
259873,260,304,304.0,,0.0
262522,216,304,304.0,,0.0
347414,247,311,303.0,2.0,0.66
463663,242,320,303.0,5.0,1.65
34853,238,313,302.0,4.0,1.32
124272,208,316,302.0,3.0,0.99
200242,229,317,302.0,4.0,1.32
237021,230,309,302.0,,0.0
378045,257,314,302.0,3.0,0.99
9211,222,313,301.0,1.0,0.33
60980,157,325,301.0,9.0,2.99
379390,240,317,301.0,4.0,1.33
26970,266,300,300.0,,0.0
69081,264,300,300.0,,0.0
296619,124,305,300.0,,0.0
252344,203,321,299.0,8.0,2.68
307306,207,316,299.0,2.0,0.67
425726,234,308,299.0,1.0,0.33
463280,223,318,299.0,4.0,1.34
45543,252,302,298.0,,0.0
